Log file created successfully...
Initialization succeded
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 556 , size[23][2] = 316 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 559 , size[23][2] = 317 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 562 , size[23][2] = 318 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 565 , size[23][2] = 319 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 568 , size[23][2] = 320 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 571 , size[23][2] = 321 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 574 , size[23][2] = 322 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 577 , size[23][2] = 323 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 580 , size[23][2] = 324 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 583 , size[23][2] = 325 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 586 , size[23][2] = 326 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 589 , size[23][2] = 327 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 592 , size[23][2] = 328 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 595 , size[23][2] = 329 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 598 , size[23][2] = 330 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 601 , size[23][2] = 331 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 604 , size[23][2] = 332 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 607 , size[23][2] = 333 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 610 , size[23][2] = 334 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 613 , size[23][2] = 335 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 616 , size[23][2] = 336 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 619 , size[23][2] = 337 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 622 , size[23][2] = 338 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 625 , size[23][2] = 339 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 628 , size[23][2] = 340 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 631 , size[23][2] = 341 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 634 , size[23][2] = 342 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 637 , size[23][2] = 343 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 640 , size[23][2] = 344 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 643 , size[23][2] = 345 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 646 , size[23][2] = 346 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 649 , size[23][2] = 347 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 652 , size[23][2] = 348 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 655 , size[23][2] = 349 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 658 , size[23][2] = 350 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 661 , size[23][2] = 351 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 664 , size[23][2] = 352 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 667 , size[23][2] = 353 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 670 , size[23][2] = 354 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 673 , size[23][2] = 355 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 676 , size[23][2] = 356 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 679 , size[23][2] = 357 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 682 , size[23][2] = 358 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 685 , size[23][2] = 359 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 688 , size[23][2] = 360 
size[23][0] = 0 , size[23][1] = 0 ,size[23][2] = 691 , size[23][2] = 361 
